Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,12,0.01,0.31,0.38741497514705175
75% Corpus,12,0.01,0.61,0.46376405032200835
75% Corpus,12,0.01,0.9099999999999999,0.4420721894914334
75% Corpus,12,0.01,symmetric,0.3499001308612146
75% Corpus,12,0.31,0.01,0.3437563185193923
75% Corpus,12,0.31,0.31,0.3589496368007195
75% Corpus,12,0.31,0.61,0.4323870210609792
75% Corpus,12,0.31,0.9099999999999999,0.4330462311680876
75% Corpus,12,0.31,symmetric,0.34460932419985907
75% Corpus,12,0.61,0.01,0.34684734315529336
75% Corpus,12,0.61,0.31,0.3333972224812598
75% Corpus,12,0.61,0.61,0.3852628516373806
75% Corpus,12,0.61,0.9099999999999999,0.41878995390498336
75% Corpus,12,0.61,symmetric,0.3430721621579183
75% Corpus,12,0.9099999999999999,0.01,0.34436502732302077
75% Corpus,12,0.9099999999999999,0.31,0.34403776785140544
75% Corpus,12,0.9099999999999999,0.61,0.37125955601118515
75% Corpus,12,0.9099999999999999,0.9099999999999999,0.4201805159860308
75% Corpus,12,0.9099999999999999,symmetric,0.3406266436999037
75% Corpus,12,symmetric,0.01,0.3421040894765932
75% Corpus,12,symmetric,0.31,0.38334605210592954
75% Corpus,12,symmetric,0.61,0.4592122151325408
75% Corpus,12,symmetric,0.9099999999999999,0.4256186866393446
75% Corpus,12,symmetric,symmetric,0.33764116118961857
75% Corpus,12,asymmetric,0.01,0.34610128014966013
75% Corpus,12,asymmetric,0.31,0.3497275971470204
75% Corpus,12,asymmetric,0.61,0.44970562717723456
75% Corpus,12,asymmetric,0.9099999999999999,0.443920712298596
75% Corpus,12,asymmetric,symmetric,0.33588873618847837
75% Corpus,15,0.01,0.01,0.34838682466854703
75% Corpus,15,0.01,0.31,0.41234006484511293
75% Corpus,15,0.01,0.61,0.43264045752356944
75% Corpus,15,0.01,0.9099999999999999,0.4387057553768375
75% Corpus,15,0.01,symmetric,0.34993476283889213
75% Corpus,15,0.31,0.01,0.3430559310997651
75% Corpus,15,0.31,0.31,0.3702841256185735
75% Corpus,15,0.31,0.61,0.44316853781077775
75% Corpus,15,0.31,0.9099999999999999,0.44835200707161166
75% Corpus,15,0.31,symmetric,0.3408682367206239
75% Corpus,15,0.61,0.01,0.3477509277447471
75% Corpus,15,0.61,0.31,0.3319860964350299
75% Corpus,15,0.61,0.61,0.41095427759090264
75% Corpus,15,0.61,0.9099999999999999,0.4094320812792713
75% Corpus,15,0.61,symmetric,0.3422498510484164
75% Corpus,15,0.9099999999999999,0.01,0.3428973634749475
75% Corpus,15,0.9099999999999999,0.31,0.34400249782528886
75% Corpus,15,0.9099999999999999,0.61,0.39106774934583044
75% Corpus,15,0.9099999999999999,0.9099999999999999,0.4126326251443801
75% Corpus,15,0.9099999999999999,symmetric,0.35092324306711226
75% Corpus,15,symmetric,0.01,0.3453558165021604
75% Corpus,15,symmetric,0.31,0.41606647030158406
75% Corpus,15,symmetric,0.61,0.45533208324108126
75% Corpus,15,symmetric,0.9099999999999999,0.4361512374031798
75% Corpus,15,symmetric,symmetric,0.34141383234199807
