artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
Cher,Song For The Lonely,18821,0.548,0.915,0,-7.01,1,0.0556,0.00528,0.0,0.186,0.38,129.972,spotify:track:1nu7ec0zCNvyHRrFXZsFHy,202600
Sheryl Crow,Soak Up The Sun,18823,0.717,0.733,4,-4.985,1,0.0427,0.0398,0.0,0.136,0.713,119.996,spotify:track:215JYyyUnrJ98NK3KEwu6d,292307
Big Tymers,Still Fly,18826,0.675,0.607,11,-3.538,1,0.162,0.0302,8.97e-06,0.339,0.56,177.928,spotify:track:563vSy3HB5NHxel1VGQCW6,335613
No Doubt,Hella Good,18827,0.772,0.665,8,-3.947,1,0.0349,0.0136,0.012,0.0905,0.838,115.138,spotify:track:6AfLmKXzhEZjwiVPs5jhdV,242587
Nas,One Mic,18830,0.783,0.608,0,-5.742,0,0.361,0.0574,0.0,0.102,0.429,91.672,spotify:track:6MMuI4k4Vs5ghtDH5i2hBg,268667
B2K,Gots Ta Be,18832,0.832,0.454,2,-4.252,1,0.0513,0.0402,0.000497,0.0723,0.69,131.784,spotify:track:63MKNIWCCxtqnehwFhmYqp,321200
Donell Jones,You Know That I Love You,18833,0.767,0.493,6,-5.346,1,0.0425,0.136,0.000269,0.0603,0.811,96.003,spotify:track:5QiTs0egWAq0k2O8HWKoEP,260067
Britney Spears,Overprotected,18834,0.682,0.894,0,-1.73,0,0.0727,0.0381,0.0,0.416,0.845,95.992,spotify:track:5p0KCAuu5nrHpTuAIhHdLw,198600
Remy Shand,Take A Message,18835,0.655,0.611,10,-6.54,1,0.0402,0.302,4.37e-06,0.111,0.555,80.035,spotify:track:0hJPZ0v8QxRwGIKiMGKE1G,243867
Nelly,Hot In Herre,18837,0.956,0.745,11,-4.753,0,0.12,0.206,0.0,0.0615,0.912,107.075,spotify:track:04KTF78FFg8sOHC1BADqbY,228240
Brandy,Full Moon,18838,0.692,0.656,10,-4.81,0,0.151,0.358,0.0029,0.0929,0.629,105.994,spotify:track:0pLmfgIANOX9FB9uZDU43x,248933
Ying Yang Twins,Say I Yi Yi,18839,0.782,0.627,8,-6.509,0,0.115,0.00233,1.27e-05,0.201,0.485,94.967,spotify:track:46XvcuEZFFInDilbYUNHBn,272507
System Of A Down,Toxicity,18840,0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,spotify:track:0snQkGI5qnAmohLE7jTsTn,218933
Sean Paul,Gimme The Light,18842,0.778,0.761,2,-5.529,1,0.0525,0.141,4.61e-05,0.0441,0.923,107.288,spotify:track:3SCVtAJq8li6HlKfM4M08u,228000
Petey Pablo,I Told Y'all,18843,0.708,0.828,7,-6.694,1,0.455,0.402,0.000221,0.225,0.543,193.837,spotify:track:2T5wKTa1NEkxwXwtxh7xvu,256893
Eminem,Without Me,18844,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,290320
Ruff Endz,Someone To Love You,18845,0.637,0.678,8,-2.21,1,0.0345,0.0543,0.0,0.0961,0.426,77.928,spotify:track:2LrvK045zLQyt4s9n1QSBA,297360
Carolyn Dawn Johnson,I Don't Want You To Go,18846,0.458,0.795,9,-4.714,1,0.0559,0.0464,0.000212,0.0315,0.512,168.316,spotify:track:5nm8hcsVzkpybnK75h7FDY,279533
Lonestar,Not A Day Goes By,18847,0.53,0.305,6,-8.568,1,0.028,0.492,0.0,0.137,0.221,127.318,spotify:track:5hPZdsAI8Jo0mhq5J829Tb,248040
Joe,What If A Woman,18848,0.645,0.582,10,-5.325,1,0.0451,0.0453,1.56e-05,0.131,0.359,140.028,spotify:track:6B38ul2FMi2Vho0siZ6DjB,254840
Dirty Vegas,Days Go By,18849,0.786,0.853,9,-8.274,0,0.0688,0.0499,0.0872,0.35,0.309,126.99,spotify:track:2RLpFEf6d0708O7Bqhjyxg,432147
Gary Allan,The One,18851,0.594,0.601,8,-9.036,1,0.0312,0.54,0.004,0.0526,0.66,136.11,spotify:track:3bshjjlr63HkgFFxdA8mvg,259760
B Rich,Whoa Now,18853,0.81,0.784,10,-4.558,0,0.0672,0.181,0.0,0.0882,0.792,91.024,spotify:track:5M787z6y04n4uxZ9rpBAm1,241533
Craig David,Walking Away,18854,0.596,0.688,9,-6.367,0,0.0345,0.196,0.0,0.121,0.817,172.837,spotify:track:3R7fjB38qajI6JR69y5k4e,204867
Korn,Here To Stay,18855,0.564,0.947,2,-4.998,1,0.0448,7.81e-06,0.828,0.373,0.351,100.002,spotify:track:5NHTtXGCdO7ul16xr0q93w,270960
Pilar Montenegro,Quitame Ese Hombre,18856,0.691,0.631,0,-4.423,0,0.044,0.202,0.0,0.246,0.967,156.005,spotify:track:51nRQic7PFMD4NsdRj6soX,240480
Brooks & Dunn,My Heart Is Lost To You,18857,0.524,0.849,2,-4.634,1,0.0463,0.188,0.0,0.179,0.453,125.86,spotify:track:2YWVrRgUlnOGW2MKEU4PLv,178707
Puddle Of Mudd,Drift & Die,18858,0.434,0.845,11,-4.316,1,0.0352,0.00554,0.0,0.11,0.332,96.073,spotify:track:4YetrvKdYwgQANVedMth3F,265067
N.O.R.E.,Nothin',18859,0.791,0.863,3,-6.118,0,0.151,0.317,1.13e-06,0.27,0.742,97.035,spotify:track:5ZKVNTG7yu7gbX4vryqS2X,264653
Mario,Just A Friend 2002,18860,0.538,0.677,0,-6.099,1,0.187,0.00541,0.0,0.236,0.913,132.346,spotify:track:2cxbxpHrND6i4uvUGVvC9J,214200
Clipse,Grindin',18862,0.592,0.77,1,-3.402,1,0.318,0.122,1.22e-06,0.103,0.361,191.692,spotify:track:3XrvEifl0hIzgBGUa5jBLS,264760
John Mayer,No Such Thing,18863,0.668,0.739,4,-4.919,1,0.0308,0.0383,0.0,0.13,0.571,131.918,spotify:track:6Vecwo7AHst9V2CE3kmwr0,231467
Tweet,Call Me,18864,0.552,0.706,1,-8.117,0,0.363,0.484,6.49e-05,0.074,0.721,167.468,spotify:track:2aBEchhqPDgnvjPhCgzHSx,177373
Avril Lavigne,Complicated,18865,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,244507
Kellie Coffey,When You Lie Next To Me,18866,0.312,0.404,5,-10.014,1,0.0293,0.184,0.0,0.306,0.115,138.425,spotify:track:6EwbFB8T0uIaaRCNwAIrnS,239827
Ashanti,Happy,18867,0.727,0.515,2,-6.553,0,0.0289,0.241,3.74e-06,0.124,0.695,89.488,spotify:track:6CbcdeTQKj0qTaZTt0xkdk,262227
Joe Nichols,The Impossible,18869,0.617,0.504,9,-6.702,1,0.0295,0.354,3.1e-06,0.0875,0.197,77.988,spotify:track:5vyVckEUyIogu3Fq7J3lBR,245573
Kenny Chesney,The Good Stuff,18870,0.612,0.62,7,-9.785,1,0.0645,0.255,0.0,0.129,0.502,143.78,spotify:track:1sR3kJi14jA8Gau3a0yXAo,200440
Amerie,Why Don't We Fall In Love,18871,0.551,0.773,11,-6.578,0,0.101,0.0673,3.39e-05,0.0511,0.649,90.003,spotify:track:4bnjq8zqtCnxTGxll5ezOO,159293
