date,rank,artist,song,lyricId
1982-01-09,66,Bob Seger,Tryin' To Live My Life Without You,11678
1982-01-09,67,Donnie Iris,Love Is Like A Rock,11795
1982-01-09,68,Kenny Rogers,Through The Years,11799
1982-01-09,69,Rush,Closer To The Heart,10082
1982-01-09,70,Quincy Jones Featuring James Ingram,One Hundred Ways,11794
1982-01-09,71,Patti Austin,Every Home Should Have One,11789
1982-01-09,72,Neil Young / Crazy Horse,Southern Pacific,11798
1982-01-09,73,The John Hall Band,Crazy (Keep On Falling),11800
1982-01-09,74,KISS,A World Without Heroes,11788
1982-01-09,75,Bill Champlin,Tonight Tonight,11801
1982-01-09,76,Buckner & Garcia,Pac-Man Fever,11803
1982-01-09,77,Mike Post featuring Larry Carlton,The Theme From Hill Street Blues,-1
1982-01-09,78,Bee Gees,Living Eyes,11752
1982-01-09,79,Irene Cara,Anyone Can See,11773
1982-01-09,80,Diana Ross,"Mirror, Mirror",11804
1982-01-09,81,Peabo Bryson,Let The Feeling Flow,11805
1982-01-09,82,Quincy Jones Featuring James Ingram,Just Once,11658
1982-01-09,83,Teddy Pendergrass,"You're My Latest, My Greatest Inspiration",11806
1982-01-09,84,Leif Garrett,Runaway Rita,11783
1982-01-09,85,Vangelis,Chariots Of Fire - Titles,11790
1982-01-09,86,Rick Springfield,I've Done Everything For You,11666
1982-01-09,87,ABBA,When All Is Said And Done,11807
1982-01-09,88,Dave Stewart and Barbara Gaskin,It's My Party,11796
1982-01-09,89,Kano,Can't Hold Back (Your Loving),11802
1982-01-09,90,Little River Band,The Night Owls,11665
1982-01-09,91,Crystal Gayle,The Woman In Me,11780
1982-01-09,92,The Kinks,Better Things,11775
1982-01-09,93,Four Tops,When She Was My Girl,11659
1982-01-09,94,Diesel,Sausalito Summernight,11683
1982-01-09,95,Al Jarreau,We're In This Love Together,11643
1982-01-09,96,Carl Carlton,"She's A Bad Mama Jama (She's Built, She's Stacked)",11667
1982-01-09,97,Kenny Rogers,Blaze Of Glory,11766
1982-01-09,98,Sheena Easton,For Your Eyes Only,11633
1982-01-09,99,Rick James,Super Freak (Part I),11646
1982-01-09,100,Diana Ross & Lionel Richie,Endless Love,11613
1982-01-16,1,Olivia Newton-John,Physical,11703
1982-01-16,2,Foreigner,Waiting For A Girl Like You,11711
1982-01-16,3,"Earth, Wind & Fire",Let's Groove,11706
1982-01-16,4,Daryl Hall John Oates,I Can't Go For That (No Can Do),11755
1982-01-16,5,The J. Geils Band,Centerfold,11748
1982-01-16,6,Quarterflash,Harden My Heart,11725
1982-01-16,7,Stevie Nicks With Don Henley,Leather And Lace,-1
1982-01-16,8,George Benson,Turn Your Love Around,11733
1982-01-16,9,Lindsey Buckingham,Trouble,11729
1982-01-16,10,Juice Newton,The Sweetest Thing (I've Ever Known),11724
1982-01-16,11,Neil Diamond,Yesterday's Songs,11747
1982-01-16,12,Barbra Streisand,Comin' In And Out Of Your Life,11756
1982-01-16,13,Royal Philharmonic Orchestra,Hooked On Classics,-1
1982-01-16,14,Paul Davis,Cool Night,11751
1982-01-16,15,Rod Stewart,Young Turks,11721
1982-01-16,16,Eddie Rabbitt,Someone Could Lose A Heart Tonight,11757
1982-01-16,17,The Rolling Stones,Waiting On A Friend,11776
1982-01-16,18,The Cars,Shake It Up,11762
1982-01-16,19,Dan Fogelberg,Leader Of The Band,11771
1982-01-16,20,Ronnie Milsap,I Wouldn't Have Missed It For The World,11732
1982-01-16,21,The Beach Boys,Come Go With Me,11768
1982-01-16,22,Little River Band,Take It Easy On Me,11778
1982-01-16,23,Sheena Easton,You Could Have Been With Me,11770
1982-01-16,24,Billy Joel,She's Got A Way,11763
1982-01-16,25,Diana Ross,Why Do Fools Fall In Love,11720
1982-01-16,26,Air Supply,Sweet Dreams,11784
1982-01-16,27,Journey,Don't Stop Believin',11737
1982-01-16,28,Kool & The Gang,Take My Heart (You Can Have It If You Want It),11722
1982-01-16,29,Queen & David Bowie,Under Pressure,11750
1982-01-16,30,Rick Springfield,Love Is Alright Tonite,11779
1982-01-16,31,Go-Go's,Our Lips Are Sealed,11674
1982-01-16,32,Stevie Woods,Steal The Night,11680
1982-01-16,33,Commodores,Oh No,11696
1982-01-16,34,The Police,Every Little Thing She Does Is Magic,11695
1982-01-16,35,Kenny Rogers,Through The Years,11799
1982-01-16,36,Sneaker,More Than Just The Two Of Us,11744
1982-01-16,37,Alabama,Love In The First Degree,11760
1982-01-16,38,Loverboy,Working For The Weekend,11758
1982-01-16,39,Bertie Higgins,Key Largo,11759
1982-01-16,40,Eddie Schwartz,All Our Tomorrows,11785
1982-01-16,41,Del Shannon,Sea Of Love,11786
1982-01-16,42,Don McLean,Castles In The Air,11743
1982-01-16,43,Barry Manilow,Somewhere Down The Road,11791
1982-01-16,44,Lulu,If I Were You,11765
1982-01-16,45,Billy Squier,My Kinda Lover,11772
1982-01-16,46,Al Jarreau,Breakin' Away,11777
1982-01-16,47,Genesis,Abacab,11797
1982-01-16,48,Jennifer Warnes,Could It Be Love,11781
1982-01-16,49,Bob Seger & The Silver Bullet Band,Feel Like A Number,11792
1982-01-16,50,Sheila,Little Darlin',11782
1982-01-16,51,Diana Ross,"Mirror, Mirror",11804
1982-01-16,52,Air Supply,Here I Am (Just When I Thought I Was Over You),11693
1982-01-16,53,Henry Paul Band,Keeping Our Love Alive,11787
1982-01-16,54,Chilliwack,"My Girl (Gone, Gone, Gone)",11698
